Timestamp,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,AttitudePitch,AttitudeRoll,AttitudeYaw,GravitationalAccelerationX,GravitationalAccelerationY,GravitationalAccelerationZ,AccelerationX,AccelerationY,AccelerationZ,RotationX,RotationY,RotationZ
0.0,-0.2200906017518613,0.0827051320763286,2.810348642762857e-17,0.971966985869928,-0.4421034238255528,0.1788269705846001,0.0402887044782439,0.1607733517885208,0.4278416931629181,-0.8894399404525757,-0.0033111274242401,0.0067688226699829,0.0075971484184265,0.1584775298833847,-0.0485062524676322,0.0692142099142074
0.001,-0.2178059473962978,0.0820349841020302,0.0010047970538978,0.9725378488360702,-0.4372879811068988,0.1775528360884203,0.0416166877177638,0.1600019931793213,0.4234842956066131,-0.8916616439819336,-0.000210016965866,0.0168125033378601,0.0142663717269897,0.1506520062685012,-0.0468639321625232,0.0621781833469867
0.085,-0.2200877324886841,0.0814733188891709,0.001495086720523,0.9720706341732724,-0.4418782073812817,0.1768749287948793,0.0429018288249742,0.1590537875890731,0.4276381433010101,-0.889846920967102,-0.0036450922489166,0.010323017835617,0.0045177936553955,0.1419353634119033,-0.0456388182938098,0.0638680458068847
0.085,-0.2223681931630358,0.0809111564801482,0.0019854596190705,0.9715975171307925,-0.4464691403897501,0.1762020855365786,0.0441865216961606,0.1581092029809951,0.4317835867404938,-0.8880115151405334,-0.0070838183164596,0.0038418769836425,-0.0052514672279357,0.1332187056541443,-0.0444137081503868,0.065557911992073
0.126,-0.2220730681670237,0.0800702082099586,0.0029909861291008,0.9717321462791988,-0.4457249342911257,0.1748250325593017,0.0458720351037729,0.156942069530487,0.4311122000217438,-0.8885445594787598,-0.0054937452077865,-0.0038493275642395,-0.0052190423011779,0.1822554171085357,-0.0535282678902149,0.0718265995383262
0.164,-0.2193528345639859,0.0785040391578785,0.0037062475921027,0.97247504340886,-0.4401204107637783,0.1714054787512395,0.0460521074973714,0.1543124318122863,0.4260485172271728,-0.8914428353309631,0.0003974586725234,-0.0092156827449798,-0.007480502128601,0.237299382686615,-0.051241785287857,0.0350787229835987
0.193,-0.2141511499292302,0.0769017152610233,0.0035206424916454,0.973762203011332,-0.4296175127915299,0.1671747896917191,0.0437854330394075,0.1512759029865265,0.4165232181549072,-0.8964507579803467,-0.0016998797655105,-0.0218910574913024,-0.0231530666351318,0.2633652687072754,-0.0249362625181674,-0.010965246707201
0.275,-0.2095507749179507,0.0758917602946355,0.0028943239429284,0.9748438428459544,-0.4203929881613558,0.1641423345080417,0.0410326634771113,0.1491782814264297,0.4081193506717682,-0.9006577730178833,-0.0054601519368588,-0.0462020821869373,-0.0185396056622266,0.2533436417579651,-0.0639533326029777,-0.0217168238013982
0.304,-0.2031396895074096,0.0751238312478721,0.0029036281998856,0.9762593579165328,-0.4073720235026868,0.1617432646527141,0.0394264885564146,0.1478604078292846,0.3961978852748871,-0.9061813354492188,-0.0052089542150497,-0.0493521392345428,-0.0129774212837219,0.243745356798172,-0.0487733706831932,-0.0079324785619974
0.362,-0.1980470985833709,0.0744694127625397,0.0029792041227704,0.9773549980768244,-0.3970298335286112,0.1598031072114222,0.0383089386877599,0.1467461884021759,0.3866810202598572,-0.910463273525238,-0.0076369643211364,-0.0516539216041564,-0.0065320134162902,0.2289632856845855,-0.0445558279752731,0.0086434222757816
0.363,-0.1929490246236226,0.0738129396779663,0.0030546843173663,0.9784236206668598,-0.3866856023500099,0.1578836814029255,0.0372177876594627,0.1456194818019867,0.3771209120750427,-0.9146445989608764,-0.0100524872541427,-0.0539124310016632,-0.0001872181892395,0.2141812294721603,-0.040338285267353,0.0252193193882703
0.45,-0.1889079840364432,0.0724596865055509,0.0033542463685612,0.9793119668536624,-0.3784855231950315,0.1547110021449981,0.0365397806753657,0.1431886106729507,0.3695137202739715,-0.9181267023086548,-0.0091380178928375,-0.0499540567398071,0.0010302066802978,0.1607661098241806,-0.0565264821052551,0.0228464119136333
0.45,-0.1848633671854144,0.0711050677252064,0.0036537075657828,0.9801816836442356,-0.3702835498850503,0.1515545149029473,0.0358917973721787,0.140742689371109,0.3618798851966858,-0.9215391874313354,-0.0082084834575653,-0.0459691286087036,0.0021780133247375,0.1073509901762008,-0.0727146714925766,0.0204735063016414
0.478,-0.1810958285812263,0.0698660770014009,0.0048478119759549,0.9809686155341,-0.3625089637756144,0.1490293333247668,0.0372445882860791,0.1388287395238876,0.3546213507652282,-0.924646019935608,-0.0047699660062789,-0.035440444946289,0.0022832751274108,0.0689653605222702,-0.0190668702125549,0.0660947412252426
0.565,-0.1780503226291672,0.0699164345664494,0.0064930488162479,0.9815128065753208,-0.356087022072614,0.1494565487255618,0.0401736032577452,0.1395599693059921,0.3486095070838928,-0.9268195033073424,-0.0051342844963073,-0.024579495191574,-0.0030563473701477,0.0390538163483142,0.0087057873606681,0.0586186163127422
0.565,-0.1765278870025057,0.0701746498846719,0.0071261405216386,0.981764944997708,-0.3528969000607591,0.150082857843865,0.0413256693345085,0.1403059959411621,0.3456177413463592,-0.9278268218040466,-0.0085934400558471,-0.0309285521507263,-0.0052037239074707,0.0470828190445899,0.0134810972958803,0.0451615452766418
0.61,-0.1749756573925776,0.0702370030200444,0.0077909533960661,0.9820332743409268,-0.3496504290334869,0.1503020674862392,0.0424627867486511,0.1406766474246978,0.342569500207901,-0.9289005398750304,-0.0077363699674606,-0.0283834338188171,-0.004730224609375,0.045391496270895,0.0054678302258253,0.044934120029211
0.64,-0.1732086413213238,0.0701274561216849,0.0084717485035697,0.9823487083629006,-0.345975319848625,0.1501406133295942,0.0435300855533068,0.1407140344381332,0.3391144573688507,-0.9301617741584778,-0.0066544264554977,-0.0236390233039855,-0.00259530544281,0.0222707670181989,-0.0050275512039661,0.0170063041150569
0.724,-0.1718360572750973,0.0696209666904957,0.0087031746105152,0.9826237278022744,-0.343185486669237,0.1490221424775042,0.0435852316806001,0.1398135125637054,0.3364886343479156,-0.9312505722045898,-0.0053084939718246,-0.0214016735553741,-0.0002380609512329,0.0002697015879675,-0.0070386645384132,-0.0066393706947565
